Enplanements,name,latitude,longitude,elevation_ft,local_code
51865797,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026,ATL
42624050,Los Angeles International Airport,33.942501,-118.407997,125,LAX
39873927,Chicago O'Hare International Airport,41.9786,-87.9048,672,ORD
32821799,Dallas Fort Worth International Airport,32.896801,-97.038002,607,DFW
31362941,Denver International Airport,39.86169815,-104.6729965,5431,DEN
30620769,John F Kennedy International Airport,40.639801,-73.7789,13,JFK
27790717,San Francisco International Airport,37.61899948,-122.375,13,SFO
24024908,Seattle Tacoma International Airport,47.449001,-122.308998,433,SEA
23795012,McCarran International Airport,36.08010101,-115.1520004,2181,LAS
23202480,Orlando International Airport,28.42939949,-81.30899811,96,MCO
22797602,Newark Liberty International Airport,40.692501,-74.168701,18,EWR
22281949,Charlotte Douglas International Airport,35.2140007,-80.94309998,748,CLT
21622580,Phoenix Sky Harbor International Airport,33.435302,-112.005905,1135,PHX
21157398,George Bush Intercontinental Houston Airport,29.9843998,-95.34140015,97,IAH
21021640,Miami International Airport,25.79319954,-80.29060364,8,MIA
20006521,Logan International Airport,42.3643,-71.005203,20,BOS
18361942,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802,841,MSP
17612331,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,9,FLL
17436837,Detroit Metropolitan Wayne County Airport,42.21239853,-83.35340118,645,DTW
15292670,Philadelphia International Airport,39.87189865,-75.2410965,36,PHL
15058501,La Guardia Airport,40.777199,-73.872597,21,LGA
13371816,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,146,BWI
12226730,Salt Lake City International Airport,40.785749,-111.979746,4227,SLC
12174224,San Diego International Airport,32.73360062,-117.1900024,17,SAN
11621623,Washington Dulles International Airport,38.9445,-77.455803,312,IAD
11366771,Ronald Reagan Washington National Airport,38.8521,-77.037697,15,DCA
10678018,Chicago Midway International Airport,41.785999,-87.752403,620,MDW
10368514,Tampa International Airport,27.97550011,-82.53320313,26,TPA
