X ESC CSG ADQ MLI IMT LMT CLT BLI MFR SFO ANB MCW PRC HOB RKS CHO ONT INT MOB FNT TLH AMA HGR BMI CMI GLH MMU PSC PSG JNU TEX ABY MOT LEX MMH MHR BIS BJI FOD GNV COD CMH ARA RIW VIS CEZ ACY IPT GPT BZN AEX PIR TPA OPF SOP LAL APF GRB DPA HDN RDM RDU BPT OGS APA MCO GAM LBL MBL KQA BUF ROW HUF NQA CHS ORD JAN LAN LRD TVF MKK SAN GAL BRD DAL ORF IAH ICT SVA KTB PAH TCL ART YIP DRT MHK SLC FSD HOU CVG PUB MWA GCN COU FWA DFW FOE COE AFW MCN CWA ACT VRB MSP PSP CDV TVL GTF BTL SWO WRG RNO CRP JFK BKW SUN OWB LFT LWB FMY ASH EWB MUE GUM ITH PVD DET ALW BET MTH CPR VPS EWN SPS SMX MTJ TRI PTK ELP GRI OGD ERI FRG PSM GFK SHD DUJ LSE HKY PSE ACV JVL LUK DSM DVL FSM CMX ISM CRW BRW RHI EKO SLE LIT PNS PHF SIT CLE CID PVC SHV GRR COS BOS PIE AZO HYA AVP MIE FLO MQY ALO VQQ CPS GUC BQK LNY SUS VNY BFI JMS BUR AUS RKD GJT VLD HTS HVN GRK CVN EGV LGU STS SGU CGI ELD LNS BTR PGV GTR ORH EGE HPN LWS LNK MRY GCC APN SAV EWR BLF BAF OME RME RVS SCC INL SAF HNL IND MAF LAF CDC DDC HVR HYS TOL CYS MYR GUP SYR AND JAC GYR HNM SBA CNM OXR MKE DAB ATY SAC OTZ DCA SUX LUP TUP KTN SPI SAT IAD MTN ISO MVY BTM EAT FAT BVY SBD PQI CEF CAE DTO ITO WYS MSO TYS HRL GYY BQN LBE CDB JST ABE GST BRL RDG GEG MSL LBF STT LGA RDD BRO DRO MSN HRO MSY TTN TEB BOI HOM OSU LEB ASN STL IDA LCH HUT MYF SCH RSW DUT DHN AHN SFB BHM SDF ECP FYV BDL MDH RFD JEF DLG MEM MEI ILG HLG DEN YKM OKC ADS MKC BTV DTW BED PDT VQS VGT LGB VCV UOX UGN SEE TYR BFL TXK TWF TVC TUS ABI TUL BFF TOA BLV FNL AGC PUW SVC PPC PVU PIH STX PDX IAG OMA ABQ STC BFM DBQ HSV SRQ FMN SBN TBN IWD HWD BHB BGR SOW AVL CDW HIB MCE FTW LAR EAR FAR SMF DLH PIB DVT BCE ATL OCF PGD SJU PHL HBG SJT SJC RIC LAW CHA SGF ATW EVV RST LAS SEA ENV IFP JLN SDP PLN GON KSM OAJ GGG EUG IPL RIL HLN ILN RWI BWG CLM RUT ELM PWK NYL MWH ILM BWI LCK ROC GSO BIL DWH GCK YNG MLU AGS SCK MIA MKG BJC PAE RAP PIA PWM HCR BFD MHT CCR ISP PKB FAI OGG MBS PBI DAN ADK APC AIA MGW EAU MYU CBM JHW DAY CKB FAY DIK PPG CWF PIT EYW BMG PHX JHM PGA ANC XNA CDR BDR SNA PBG OTH MLB CAK SWF MKL BNA EFD FLG LYH MHV IYK BKL DEC ALB OAK FKL ENA MCI MFE MDW ROA MDT CIC KOA MCK GBH MGM LIH YAK LBB IGM LAX GKN SBP ASE GSP JAX ABR AKN BGM DCK ACK IRK CLL CIU SLN FLL ALS CEC ENW
ESC 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 329 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18726 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CSG 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 447 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 151 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 83 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51011 142 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ADQ 0 0 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 152 0 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 76697 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 418 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 202 0 0 0 0 0 0 0 0 0 0 0
MLI 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 128 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 101866 0 0 0 0 0 0 0 0 97 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 44302 0 0 0 0 0 0 0 19791 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13623 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 657 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14592 0 0 0 0 0 0 0 0 0 0 0 0 0 31760 0 0 0 0 0 25498 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 112 0 0 0 0 0 65611 0 6438 0 0 0 0 0 0 0 0 0 0 0 17 15014 0 0 1209 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 104 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
IMT 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11786 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LMT 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CLT 0 0 0 0 0 0 10 0 0 269207 0 0 0 0 0 129187 0 0 59424 9462 76155 17 0 0 16427 0 0 0 0 0 0 0 0 79788 0 0 0 0 0 79208 0 162424 0 0 0 0 149 0 41741 0 0 0 465237 16 0 0 0 278 0 0 0 369386 0 0 0 674182 0 0 0 0 126332 0 0 0 252427 589902 65021 0 0 0 0 203863 0 0 46342 239064 330816 0 0 0 0 0 0 0 0 0 100695 0 39565 168676 0 0 0 0 37697 550646 0 0 164 0 0 0 0 274036 0 0 0 6 0 0 0 0 4 418115 4985 0 0 74 0 0 0 0 0 0 1858 216644 0 0 0 0 0 87037 83973 0 0 1383 67772 0 8 0 0 21379 0 0 0 0 0 0 0 0 0 0 3556 61294 0 0 0 0 71814 0 0 0 0 72540 101457 94580 0 204635 39860 0 31257 64711 351 539280 0 0 0 81760 0 41438 162 0 0 0 0 0 0 0 18 0 0 106 210190 0 0 0 33978 2378 0 0 0 0 0 0 0 0 0 43791 51882 0 0 7 68848 0 0 0 0 0 201534 565418 0 0 0 0 0 0 0 0 17 213257 8 0 0 0 0 0 33705 0 205973 0 143732 0 0 0 0 0 0 0 100544 94339 0 0 0 354809 0 0 0 0 0 170961 242815 0 0 0 0 0 0 0 0 0 0 132351 0 0 0 0 126947 11 0 0 0 0 0 63434 0 0 0 0 0 0 42533 580109 0 0 0 43903 0 246743 28532 1 0 0 0 0 1 195748 0 0 0 0 0 240233 0 0 0 0 118684 158241 38386 0 281493 0 0 0 0 193958 0 0 0 426768 0 54157 0 0 47792 319693 110 0 0 0 0 0 0 0 0 0 0 0 0 658 3604 0 67256 0 0 0 0 0 0 0 0 0 0 5854 56613 0 67827 64 0 82 0 73306 118149 0 37139 0 0 0 0 13851 0 144676 0 0 0 0 0 0 0 58179 0 0 0 0 543176 0 0 114995 500780 0 0 198 276538 0 119412 45327 0 26555 82 326915 185857 0 300 0 0 0 0 0 104569 0 0 0 0 0 0 0 0 0 0 0 0 0 0 250107 512322 0 93827 168599 0 0 0 0 0 100859 0 401946 0 0 0 7048 35225 92474 0 0 77657 0 40 1536 0 2 0 251940 0 0 0 0 0 0 0 0 0 100936 0 110377 0 0 0 300724 49441 0 488860 0 0 0 70843 0 0 0 0 0 65269 82946 0 0 349455 0 0 89128 0 0 0 0 112377 20 0 0 148899 0 86109 107788 139763 0 0 0 0 42076 0 0 4 0 404123 0 0 0 175551 283391 0 0 0 0 865 0 0 0 0 397460 0 0 0
BLI 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10017 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22580 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5144 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 102170 102675 429 1544 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7364 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3201 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29493 0 0 0 0 0 0 0 0 1820 0 0 0 0 0 0 0 21966 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MFR 0 0 0 0 0 0 0 0 0 80741 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 46538 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 66824 0 0 0 0 0 369 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 86814 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 67 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16425 132427 0 578 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22476 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 71853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0
SFO 0 0 0 0 0 0 275820 1 76987 130 0 0 0 0 0 0 148642 0 6 0 2 90 0 0 0 0 0 14035 0 0 0 0 0 0 2943 0 0 0 0 0 0 20496 0 0 0 0 0 0 0 26836 0 0 73091 0 0 0 0 123 0 771 65566 122504 0 0 0 204037 0 0 0 0 1136 0 0 0 0 1062878 0 0 0 0 0 833083 0 0 130027 120 535680 30 0 0 0 0 0 0 0 0 319068 7 1896 101039 0 0 0 0 0 611385 0 0 0 0 0 0 0 423079 187249 0 0 0 0 0 0 103847 0 1006020 0 6221 0 0 0 0 0 0 0 0 0 160 0 0 0 0 0 0 0 0 0 2229 0 0 766 0 0 0 0 0 0 0 0 0 0 0 50558 0 0 8 0 0 0 0 0 0 0 0 0 109 0 0 0 95754 0 0 0 177 0 709328 0 0 0 0 0 0 0 0 0 159 0 0 0 0 84 164 0 267173 302440 0 770 0 0 0 0 0 0 0 9722 0 0 0 0 0 0 0 0 3929 1 0 0 24624 0 0 0 1041243 0 0 0 0 0 0 0 0 607625 54952 3 0 0 0 0 0 0 0 0 0 143 0 12987 0 0 97317 0 0 9533 0 0 2 0 115550 0 0 0 0 0 24306 511986 0 0 12 0 0 56368 0 0 0 0 0 0 0 0 4701 0 0 0 0 0 0 0 0 0 0 0 33529 0 0 0 1194 38291 0 0 25082 0 94564 7 23 98650 0 0 0 0 97147 76 0 0 0 0 434 0 0 0 0 390 332 15 0 151 0 0 0 0 6 0 0 0 908653 0 21431 0 0 0 290374 7 0 0 0 80753 0 0 0 0 0 13955 0 954 0 58731 0 429 0 0 0 0 0 0 0 0 0 0 0 644963 0 38810 54517 0 0 0 0 0 0 181 0 0 0 0 197 0 0 0 0 0 0 0 0 64 83687 0 0 0 0 568110 0 0 3 358834 0 0 10 0 0 0 0 0 0 0 945454 1108733 0 0 0 0 0 0 0 0 0 96969 0 0 0 0 0 0 0 0 0 0 0 0 0 122509 0 147 0 0 0 0 0 0 4 0 223033 0 0 77439 1329 0 0 0 0 214 0 0 0 3790 356688 0 11 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 74848 0 0 568164 0 2 12863 19687 0 0 369319 0 11664 0 0 135 0 110534 0 0 0 0 0 0 0 93 0 0 0 61595 0 90909 0 0 0 175183 0 0 0 87000 0 59 0 1750215 0 52720 12654 166 5 0 0 0 0 0 0 0 0 0 173095 0 0 0
